"year","Region","latitude","longitude","Elevation","VEI"
1979,"W Indies_Soufriere St. Vincent",13.33,-61.18,1220,3
1979,"Italy_Etna",37.734,15.004,3350,2
1979,"Kyushu-Japan_Aso",32.88,131.1,1592,2
1979,"Lesser Sunda Is_Iliwerung",-8.54,123.59,1018,0
1980,"US-Washington_St. Helens",46.2,-122.18,2549,5
1980,"Iceland-S_Hekla",63.98,-19.7,1491,3
1980,"US-Oregon_Hood",45.374,-121.694,3426,NA
1981,"Italy_Etna",37.734,15.004,3350,2
1981,"Java_Semeru",-8.108,112.92,3676,3
1981,"Kuril Is_Alaid",50.858,155.55,2339,2
1981,"Java_Semeru",-8.108,112.92,3676,3
1981,"Luzon-Philippines_Mayon",13.257,123.685,2462,NA
1981,"Lesser Sunda Is_Paluweh",-8.32,121.708,875,2
1981,"Kamchatka_Vilyuchik",52.68,158.3,2173,NA
1982,"_Chichon",NA,NA,NA,NA
1982,"_Chichon",NA,NA,NA,NA
1982,"Java_Galunggung",-7.25,108.05,2168,4
1982,"_Chichon",NA,NA,NA,NA
1983,"Kamchatka_Kliuchevskoi",56.057,160.638,4835,2
1983,"Sulawesi-Indonesia_Colo [Una Una]",-0.17,121.608,507,4
1983,"Lesser Sunda Is_Iliwerung",-8.54,123.59,1018,1
1983,"Izu Is-Japan_Miyake-jima",34.08,139.53,815,3
1984,"Africa-W_Oku Volc Field",6.25,10.5,3011,NA
1984,"Luzon-Philippines_Mayon",13.257,123.685,2462,3
1984,"Honshu-Japan_On-take",35.9,137.48,3063,NA
1984,"Italy_Etna",37.734,15.004,3350,3
1985,"Java_Semeru",-8.108,112.92,3676,3
1985,"Colombia_Ruiz",4.895,-75.322,5321,3
1985,"Italy_Etna",37.734,15.004,3350,1
1986,"Honshu-Japan_Akita-Yake-yama",39.97,140.77,1366,NA
1986,"Italy_Stromboli",38.789,15.213,926,2
1986,"Africa-W_Oku Volc Field",6.25,10.5,3011,3
1986,"Java_Merapi",-7.542,110.442,2947,2
1986,"Izu Is-Japan_Oshima",34.73,139.38,758,3
1987,"Guatemala_Pacaya",14.381,-90.601,2552,3
1987,"Italy_Etna",37.734,15.004,3350,2
1987,"Lesser Sunda Is_Sirung",-8.51,124.148,862,NA
1988,"Banda Sea_Banda Api",-4.525,129.871,640,3
1988,"Costa Rica_Arenal",10.463,-84.703,1657,3
1988,"Java_Semeru",-8.108,112.92,3676,3
1988,"Chile-C_Lonquimay",-38.377,-71.58,2865,3
1988,"Honshu-Japan_Akita-Yake-yama",39.97,140.77,1366,NA
1989,"Kyushu-Japan_Aso",32.88,131.1,1592,NA
1989,"Kyushu-Japan_Kirishima",31.93,130.87,1700,NA
1990,"Kamchatka_Shiveluch",56.653,161.36,3283,3
1990,"Java_Kelut",-7.93,112.308,1731,4
1990,"Kyushu-Japan_Aso",32.88,131.1,1592,2
1990,"Kyushu-Japan_Aso",32.88,131.1,1592,2
1990,"Peru_Sabancaya",-15.78,-71.85,5967,3
1990,"New Britain-SW Pac_Rabaul",-4.271,152.203,688,NA
1990,"Guatemala_Santa Maria",14.756,-91.552,3772,3
1990,"Kyushu-Japan_Aso",32.88,131.1,1592,2
1990,"Africa-C_Nyiragongo",NA,NA,NA,NA
1990,"Java_Kelut",-7.93,112.308,1731,NA
1991,"Kyushu-Japan_Unzen",32.75,130.3,1500,1
1991,"Luzon-Philippines_Pinatubo",15.13,120.35,1486,6
